4 cereal flakes, g,
5 cereal flakes, g,
7 cereal bread, loaf,
Adyghe cheese, g,
Amaretti cookies, g,
Antonovka apples, kg,
Arabian cakes, pcs.,
Armenian lavash, g,
BBQ sauce, g,
Baileys liqueur, g,
Birnele, ml,
Borodinsky bread, piece,
Brazilian nuts, g,
Brussels sprouts, g,
Burrata, g,
Butterfly pasta (farfalle) mini, g,
Chinese vegetable mixture, g,
Coca-Cola, Art. l.,
Creole seasoning, Art. l.,
Danish rye bread, g,
Demerara sugar, g,
Dijon mustard, g,
Dijon mustard with honey, g,
Dorblue cheese, g,
Dutch cheese, g,
Extra Virgin olive oil, g,
French mustard, g,
Greek yogurt, g,
Himalayan salt, g,
Imeretian cheese, g,
Imeretian saffron, g,
Indoor, pcs.,
Iranian dates, g,
Isabella grapes, kg,
Italian herbs, g,
Italian parsley, bunch,
Italian salami, g,
Italian tomato sauce, g,
Jamaican pepper, g,
Japanese panko babe, g,
Japanese rice, g,
Jerusalem artichoke, g,
Jerusalem artichoke syrup, glass,
Jubilee milk cookies, g,
Kahlua coffee liqueur, ml,
Kenyan beans, handful,
Kiwano, g,
Korean carrots, g,
Krasnodar sauce, g,
Kuban rice, g,
Madeira, g,
Mascarpone cheese, g,
Oreo cookies, g,
Panifarin, g,
Parma ham, g,
Peking cabbage, g,
Persian lavash round, g,
Philadelphia cheese, g,
Romano salad, g,
Roquefort, g,
Russian cheese, g,
Russian mustard, Art. l.,
Savoyardi cookies, g,
Serbian cheese, g,
Sichuan pepper, g,
Soviet champagne, glass,
St. John's wort, to taste,
Svan salt, g,
Swiss chard, g,
Swiss cheese, g,
Tabasco sauce, drop,
Thai basil, handful,
Thai eggplant, g,
Thai fish sauce, g,
Tuscan ketchup, art. l.,
Worcestershire sauce, g,
acacia honey, g,
adjika, g,
adjika green, g,
agar-agar, g,
agave syrup, g,
agram, g,
albukhara, pcs.,
alcohol, glass,
alcohol, g,
algae, g,
allspice, pinch,
allspice peas, g,
almehi, g,
almond essence, g,
almond extract, drop,
almond flour, g,
almond liqueur, g,
almond mass, g,
almond milk, g,
almond oil, g,
almond paste, g,
almond petals, g,
almond praline, g,
almond syrup, g,
almonds, g,
amaranth flour, g,
anchovies, g,
angler, g,
anise, to taste,
anise liqueur, ml,
anise seeds, g,
anise vodka, h. l.,
apple chips, glass,
apple cider vinegar, g,
apple essence, h. l.,
apple jam, g,
apple jam, g,
apple jam, g,
apple juice, g,
apple sauce, Art. l.,
apple syrup, art. l.,
apples, g,
apples golden, g,
apples of non-firm varieties, g,
applesauce, g,
apricot, g,
apricot jam, g,
apricot jam, g,
apricot juice, glass,
apricot puree, g,
apricots, g,
arborio rice, g,
argan oil, g,
arishta, g,
aromatic herbs, g,
artichokes, g,
artichokes in oil, g,
ashi, g,
asparagus, kg,
aspirin, pcs.,
assorted berry, g,
assorted fruit, g,
assorted meat, g,
assorted vegetables, g,
asterisk pasta, glass,
avocado, to taste,
avocado oil, g,
ayran, g,
baby food, g,
bacon, to taste,
badan, asterisk,
bagels, g,
baguette, g,
baked duck, g,
baked milk, g,
baked potatoes, g,
baking flour, g,
baking powder, g,
baking powder, h. l.,
baking powder, g,
balm, g,
balsam Riga black, Art. l.,
balsamic cream, glass,
balsamic sauce, Art. l.,
balsamic vinegar, glass,
balyk, g,
banana chips, a handful,
banana green syrup, ml,
banana liqueur, ml,
banana puree, g,
bananas, g,
barberry, g,
barley, g,
barley flakes, g,
barley groats, g,
basil purple, g,
basmati rice, g,
basturma, g,
bavette pasta, g,
bay leaf, g,
bean sprouts, g,
beans, g,
beans, g,
bearing, g,
beef, g,
beef brisket, kg,
beef casings, g,
beef heart, to taste,
beef liver, pcs.,
beef lungs, g,
beef marrow, pcs.,
beef neck, kg,
beef on the bone, g,
beef pulp, kg,
beef ribs, g,
beef shanks, g,
beef shoulder, g,
beef steaks, g,
beef steaks ribeye, g,
beef tenderloin, pcs.,
beef tongue, g,
beefsteak, pcs.,
beer, g,
beet, g,
beet leaves, g,
beet tops, g,
beets, g,
bell pepper, g,
bell pepper green, g,
bell pepper red, g,
bell pepper yellow, g,
berries, g,
berry jam, Art. l.,
berry jelly, g,
berry juice, g,
berry syrup, g,
bird cherry, g,
bird cherry flour, g,
biscuit, g,
biscuit biscuits, g,
biscuit biscuits, pcs.,
biscuit cake, g,
biscuit crumbs, g,
biscuit mix ready, package,
biscuit roll, g,
biscuits, g,
bitter chocolate with orange zest, g,
black bean sauce, Art. l.,
black caviar, g,
black coffee, g,
black currant, g,
black eye beans, g,
black grapes, g,
black olives, to taste,
black pepper, Art. l.,
black peppercorns, to taste,
black radish, pcs.,
black raisins, g,
black sesame, h. l.,
black syrup (molasses), g,
black tea, g,
black tea with spices, package,
black truffle, pcs.,
blackberry, g,
blackcurrant jam, g,
blackcurrant jam, g,
blood, ml,
blood sausage, g,
blue cheese, g,
blue cheese, g,
blueberries, g,
blueberry, g,
blueberry jam, glass,
boiled asparagus beans, g,
boiled beets, g,
boiled carrots, g,
boiled chestnuts, g,
boiled chicken, g,
boiled chicken breasts, g,
boiled condensed milk, Art. l.,
boiled egg yolks, pcs.,
boiled ham, g,
boiled lentils, Art. l.,
boiled pork, g,
boiled pork, g,
boiled potatoes, g,
boiled potatoes in their skins, g,
boiled red beans, glass,
boiled rice, g,
boiled sausage, g,
boiled squid, g,
boiled trout, g,
boiled veal, g,
boiled-smoked bacon, g,
boiled-smoked brisket, g,
boiled-smoked cervelat, g,
boiled-smoked ham, piece,
boiled-smoked ham, g,
boiled-smoked pork knuckle, g,
boiled-smoked pork shoulder, g,
boiled-smoked sausage, g,
boiling water, g,
boletus, g,
bones, g,
botarga, g,
bouillon cubes, g,
bouquet garni, bunch,
bourbon, g,
brain bones, g,
bran, g,
brandy, g,
bread, g,
bread crumb, g,
bread crumbs, g,
bread kvass, g,
bread mix 8 cereals, g,
breakfast dry pads, g,
bresaola, g,
brie cheese, g,
brine, g,
brioche buns, pcs.,
brisket, g,
broth, g,
brown rice, g,
brown rice and wild mix, g,
brown sugar, g,
brown tomatoes, g,
buckwheat, g,
buckwheat flakes, g,
buckwheat flour, g,
buckwheat honey, g,
buckwheat milk, glass,
buckwheat soba noodles, g,
buko cheese, g,
bulgur, g,
buns, g,
buns with sesame seeds, pcs.,
butter, g,
butter roll, g,
butterfly pasta (farfalle), g,
buttermilk, g,
butterscotch, g,
cabbage pickle, g,
cake jelly, packaging,
cake mix, pcs.,
calcium chloride, g,
calvados, g,
cancerous necks, g,
candied cherries confectionery, pcs.,
candied citron fruits, a handful,
candied citrus fruits, pcs.,
candied fruits, g,
candied ginger, Art. l.,
candied ginger, g,
candied lemon, g,
candied lemon peels, g,
candied orange peel, g,
candied violets, pcs.,
candies M & M's, g,
candy Korovka, g,
cane sugar, g,
canned apricots, g,
canned beans, g,
canned champignons, g,
canned cherries without pits, Art. l.,
canned chestnuts, g,
canned chickpeas, g,
canned corn, g,
canned cucumbers, pcs.,
canned fish, can,
canned fish, g,
canned fruits, g,
canned green beans, g,
canned green olives, jar,
canned green peas, g,
canned mango, g,
canned octopuses, g,
canned olives, g,
canned papaya in its own juice, g,
canned peach syrup, Art. l.,
canned peaches, g,
canned pear syrup, g,
canned pineapples, to taste,
canned red beans, g,
canned saury, can,
canned squid, g,
canned straw mushrooms, pcs.,
canned tomatoes, g,
canned tomatoes in their own juice with basil, g,
canned tuna, g,
canned white beans, g,
cannelloni, g,
capelin, g,
capelin roe, g,
capers, g,
capers in wine vinegar, g,
cappellini, g,
cappuccino, g,
carambola, g,
caramel, ml,
caramel pudding, g,
caramel sauce, g,
caramel with filling, g,
carbonade, g,
cardamom, g,
cardamom grain, tsp l.,
cardamom pods, pcs.,
carnaroli rice, g,
carob, g,
carp, g,
carp fillet, kg,
carrot puree, g,
carrots, g,
cashews, g,
catfish, g,
catfish fillet, g,
catfish fillet, g,
cauliflower, g,
caviar, g,
cayenne pepper, g,
cayenne red pepper, g,
cedar flour, g,
celery, g,
celery greens, g,
celery root, g,
celery salt, g,
celery seeds, tsp l.,
celery stalks, g,
cereal chocolate balls, handful,
cereal flakes, g,
champagne, g,
champignons, to taste,
chanterelles, g,
char fillet, pcs.,
chechil spaghetti, g,
cheddar, g,
cheese, g,
cheese Austria blue, g,
cheese slices, g,
cherry, g,
cherry, g,
cherry flavor, drop,
cherry food coloring, a pinch,
cherry jam, g,
cherry jam, g,
cherry jam, g,
cherry juice, g,
cherry leaves, g,
cherry liqueur, to taste,
cherry mashed with sugar, g,
cherry plum, g,
cherry syrup, glass,
cherry tincture, ml,
cherry tomatoes, g,
chestnut cream, g,
chestnut flour, g,
chestnuts, g,
chewing liquorice candies, g,
chia seeds, g,
chicken, g,
chicken bones, g,
chicken breasts, g,
chicken broth, g,
chicken carcass, g,
chicken carpaccio, g,
chicken drumsticks, g,
chicken eggs, g,
chicken fillet, g,
chicken for frying, kg,
chicken giblets, g,
chicken ham, g,
chicken hearts, g,
chicken legs, g,
chicken liver, g,
chicken pate, g,
chicken skin, g,
chicken soup set, kg,
chicken thighs, g,
chicken ventricles, pcs.,
chicken wings, g,
chickens, g,
chickens-gherkins, pcs.,
chickpea flour, g,
chickpeas, g,
chicory, h. l.,
chili pepper, g,
chili sauce, g,
chilli flakes, to taste,
chipotle ground, pinch,
chips, g,
chives, to taste,
chives, stem,
chocolate, g,
chocolate bars, g,
chocolate biscuit, g,
chocolate butter, g,
chocolate chips, g,
chocolate cookies, g,
chocolate drops, g,
chocolate flakes, g,
chocolate ice cream, ml,
chocolate liqueur, g,
chocolate mastic, g,
chocolate paste, g,
chocolate peas, g,
chocolate sauce, g,
chocolate syrup, g,
chocolate waffles, g,
chocolate with nuts, g,
chocolate-nut paste, g,
chocolates, g,
chokeberry, g,
chopped almonds, g,
chopped almonds, g,
chopped greens, g,
chopped lamb shank, g,
chopped parsley, g,
chopped pistachios, g,
chopped walnuts, g,
chorizo, g,
chum, g,
chutney mango, g,
ciabatta, piece,
cider, g,
cider vinegar, Art. l.,
cinnamon, g,
citric acid, g,
citrus freshly squeezed juice, ml,
citrus mustard, g,
clarified grape juice, h. l.,
clementines, g,
cloudberry, g,
cloves, g,
coarse brown sugar, g,
coarse flour, g,
coarse granulated sugar, g,
coarse salt, g,
cocktail cherry, g,
cocoa, a handful,
cocoa beans, g,
cocoa butter, g,
cocoa powder, to taste,
coconut cream, g,
coconut extract, g,
coconut flakes, g,
coconut flour, art. l.,
coconut liqueur, Art. l.,
coconut milk, g,
coconut oil, ml,
coconut water, glass,
coconuts, g,
cod, g,
cod fillet, g,
cod liver, g,
coffee beans, glass,
coffee beans in chocolate, g,
coffee drink, ml,
coffee extract, ml,
coffee liqueur, g,
coffee syrup, g,
cognac, g,
coho salmon, g,
cola, g,
cold smoked mackerel, g,
cold smoked salmon, g,
cold smoked sturgeon, g,
cold smoked trout, g,
colored coconut flakes, g,
compote, g,
concentrated milk, g,
condensed cocoa, can,
condensed milk, g,
condensed milk with cocoa, g,
confectionery beads, h. l.,
confectionery cream, g,
confectionery sprinkling, to taste,
confiture, to taste,
confiture, packaging,
"cookies ""Ladies fingers""", g,
cooking fat, g,
coriander, g,
coriander greens, g,
coriander seeds, g,
corn, g,
corn (golden) syrup, g,
corn chips, g,
corn flakes, g,
corn flour, g,
corn grits, g,
corn oil, g,
corn salad, bunch,
corn sticks, g,
corn tortillas, pcs.,
cornstarch, to taste,
cottage cheese, g,
cottage cheese, g,
cottage cheese 18%, g,
cottage cheese 2%, g,
cottage cheese 5%, g,
cottage cheese 9%, g,
couscous, g,
crab meat, g,
crab sticks, to taste,
crabs, g,
cracker, g,
crackers, to taste,
cranberries, g,
"cranberries, mashed with sugar", g,
cranberry jam, g,
cranberry jam, g,
cranberry juice, Art. l.,
cranberry sauce, g,
cranberry syrup, g,
crayfish, pcs.,
crayfish necks in brine, g,
cream, packaging,
cream 10-20%, g,
cream 15%, g,
cream 20%, g,
cream 33-35%, g,
cream cheese, g,
